sim_time,avg_wait_time,max_wait_time,throughput_per_min,queue_n,queue_s,queue_e,queue_w
1.0,1.0,1.0,60.0,0,0,1,0
2.0,1.3333333333333333,2.0,30.0,0,0,2,1
3.0,2.3333333333333335,3.0,40.0,0,0,2,1
4.0,2.75,4.0,30.0,0,0,3,1
5.0,2.8333333333333335,5.0,48.0,0,0,4,2
6.0,3.8333333333333335,6.0,50.0,0,0,4,2
7.0,4.833333333333333,7.0,42.85714285714286,0,0,4,2
8.0,5.833333333333333,8.0,37.5,0,0,4,2
9.0,6.833333333333333,9.0,40.0,0,0,4,2
10.0,7.833333333333333,10.0,36.0,0,0,4,2
11.0,7.714285714285714,11.0,38.18181818181818,0,0,5,2
12.0,7.75,12.0,40.0,0,0,5,3
13.0,8.75,13.0,36.92307692307693,0,0,5,3
14.0,8.777777777777779,14.0,34.285714285714285,0,0,5,4
15.0,8.181818181818182,15.0,32.0,0,0,6,5
16.0,8.5,16.0,30.0,0,0,6,6
17.0,9.5,17.0,28.235294117647058,0,0,6,6
18.0,9.76923076923077,18.0,26.666666666666664,0,0,6,7
19.0,10.071428571428571,19.0,28.421052631578945,0,0,7,7
20.0,11.071428571428571,20.0,30.0,0,0,7,7
21.0,10.6875,21.0,28.57142857142857,1,0,8,7
22.0,9.666666666666666,21.0,32.72727272727273,2,0,7,6
23.0,8.066666666666666,20.0,36.52173913043478,2,1,6,6
24.0,7.357142857142857,20.0,40.0,2,1,6,5
25.0,6.538461538461538,15.0,43.199999999999996,2,1,5,5
26.0,5.916666666666667,12.0,46.15384615384615,2,2,4,4
27.0,4.6923076923076925,10.0,48.888888888888886,3,3,4,3
28.0,4.5,8.0,51.42857142857142,3,3,4,2
29.0,4.636363636363637,9.0,53.793103448275865,4,3,3,1
30.0,5.444444444444445,10.0,56.0,4,3,2,0
31.0,6.625,11.0,58.064516129032256,4,3,1,0
32.0,6.444444444444445,12.0,60.0,5,3,1,0
33.0,6.7,13.0,61.81818181818181,5,4,1,0
34.0,8.333333333333334,14.0,63.529411764705884,5,4,0,0
35.0,8.5,15.0,61.71428571428571,5,5,0,0
36.0,9.5,16.0,63.333333333333336,5,5,0,0
37.0,9.636363636363637,17.0,64.86486486486487,5,6,0,0
38.0,9.833333333333334,18.0,66.31578947368422,6,6,0,0
39.0,10.833333333333334,19.0,66.15384615384616,6,6,0,0
40.0,11.833333333333334,20.0,66.0,6,6,0,0
41.0,11.923076923076923,21.0,67.31707317073172,6,7,0,0
42.0,12.071428571428571,22.0,65.71428571428572,7,7,0,0
43.0,10.071428571428571,22.0,66.97674418604652,7,6,0,1
44.0,8.214285714285714,18.0,68.18181818181819,6,6,0,2
45.0,7.076923076923077,17.0,69.33333333333333,5,5,0,3
46.0,6.636363636363637,15.0,70.43478260869566,4,4,0,3
47.0,4.833333333333333,11.0,71.48936170212765,4,4,1,3
48.0,4.083333333333333,8.0,72.5,3,3,2,4
49.0,4.090909090909091,7.0,73.46938775510205,2,3,2,4
50.0,4.2,8.0,74.4,1,3,2,4
